category,temperature,humidity,v_no2,v_etoh,v_voc,v_co
0,20.0,47.0,0.1697,0.5028,0.6825,1.0636
0,20.0,47.0,0.1738,0.5172,0.6818,1.0488
0,20.0,46.9,0.1697,0.5046,0.6796,1.0615
0,20.0,47.0,0.1652,0.5103,0.6752,1.0502
0,20.0,46.9,0.1649,0.4997,0.6826,1.0512
0,20.0,47.0,0.1644,0.4928,0.6735,1.0519
0,20.0,47.0,0.1796,0.4923,0.6734,1.0538
0,20.0,47.0,0.1798,0.5047,0.6759,1.0456
0,20.0,47.0,0.1729,0.5035,0.6734,1.0417
0,20.0,46.9,0.1736,0.5048,0.6854,1.0542
0,20.0,47.0,0.1653,0.502,0.6803,1.0601
0,20.0,46.9,0.1731,0.5024,0.6789,1.0487
0,20.0,47.0,0.1672,0.5004,0.6741,1.051
0,20.0,47.0,0.1696,0.5004,0.6886,1.0476
0,20.0,46.9,0.1689,0.5075,0.6791,1.0503
0,20.0,46.9,0.1746,0.4943,0.6804,1.0574
0,20.0,46.9,0.1683,0.4963,0.6833,1.055
0,20.0,47.0,0.1717,0.5117,0.6793,1.0491
0,20.0,46.9,0.1914,0.5038,0.682,1.0467
0,20.0,47.0,0.1675,0.5012,0.6818,1.0423
0,20.0,47.0,0.1692,0.5152,0.6791,1.0521
0,20.0,47.0,0.1719,0.505,0.6802,1.0486
0,20.0,47.0,0.1809,0.4971,0.6867,1.0457
0,20.0,47.0,0.1692,0.4955,0.6786,1.0468
0,20.0,47.0,0.1646,0.5032,0.6801,1.0518
0,20.0,47.0,0.1752,0.4954,0.689,1.0503
0,20.0,47.0,0.1691,0.4951,0.6844,1.0473
0,20.0,47.0,0.1642,0.5057,0.6791,1.0465
0,20.0,47.0,0.1667,0.4951,0.6743,1.0455
0,20.0,47.0,0.1637,0.5,0.6842,1.0545
0,20.0,46.9,0.1756,0.502,0.6771,1.0422
0,20.0,47.0,0.1625,0.5043,0.6813,1.0442
0,20.0,47.0,0.1795,0.4976,0.6719,1.0504
